      0.00   8200.00     90.55
      7.00   5874.42     76.64
     14.00   4164.03     64.53
     21.00   2845.29     53.34
     28.00   2095.28     45.77
     35.00   1487.64     38.57
     42.00   1057.02     32.51
     49.00    697.86     26.42
     56.00    535.14     23.13
     63.00    381.43     19.53
     70.00    272.26     16.50
     77.00    167.74     12.95
     84.00    139.44     11.81
     91.00     81.08      9.00
     98.00     72.07      8.49
    105.00     38.57      6.21
    112.00     37.69      6.14
    119.00     17.89      4.23
    126.00     20.02      4.47
    133.00      7.96      2.82
    140.00     10.84      3.29
    147.00      3.28      1.81
    154.00      6.00      2.45
    161.00      4.51      2.12
    168.00      3.42      1.85
    175.00      2.61      1.61
    182.00      0.00      0.02
