      0.50      1.35      0.10
      1.50     11.13      0.12
      2.50     33.10      1.85
      3.50     65.06      3.81
      4.50     92.19      9.06
      5.50    143.20      8.05
      6.50    209.85      1.40
      7.50    264.23     17.02
      8.50    356.64      4.61
      9.50    466.61     15.36
     10.50    562.49     11.24
     11.50    621.39     39.86
     12.50    879.21     97.96
     13.50    924.40     13.15
     14.50   1150.02     98.77
     15.50   1213.14     11.89
     20.50   2160.80     59.55
     25.50   3274.38     23.13
     30.50   4628.82     22.43
     35.50   6177.48    123.77
     40.50   8371.68    170.43
     45.50   9487.11    864.14
     50.50  12802.84     51.59
     55.50  14521.80    879.45
     60.50  18876.76    575.51
     65.50  20142.84   1308.41
     70.50  24214.36    636.89
     75.50  26174.11   2327.14
     80.50  31548.95    852.30
     85.50  37080.18    528.93
     90.50  40078.37    872.88
