1977  China     7.5   255000    1920  China    7.8   200000
2004  Sumatra   9.1   227988    1923  Japan    7.9   142800
2010  Haiti     7.0   222500    1948  Russia   7.3   110000
2008  China     7.9    87587    2005  Pakistan 7.6    86000
1908  Italy     7.2    72000    1990  Iran     7.4    45000
1970  Peru      7.9    70000    1927  China    7.6    40900
1935  Pakistan  7.6    30000    2003  Iran     6.6    31000
1939  Turkey    7.8    32700    1915  Italy    7.0    32610
1988  Armenia   6.8    25000    2001  India    7.6    20085
1976  Guatemala 7.5    23000    1974  China    6.8    20000
1978  Iran      7.8    15000    1905  India    7.5    19000
1968  Iran      7.3    10000    1962  Iran     7.1    12400
1934  India     8.1    10700    1970  China    7.5    10000
1985  Mexico    8.0     9500    1933  China    7.5     9300
1906  Chile     8.2     3880    1948  Japan    7.3     3769
1923  China     7.3     3500    1933  Japan    8.4     3000
1960  Chile     9.5     1655    1950  China    8.6     1550
1997  Iran      7.3     1600    1981  Iran     7.3     1500
1946  Japan     8.1     1362    2005  Sumatra  8.6     1313
1943  Japan     7.4     1200    1957  Iran     7.1     1200
2009  Sumatra   7.5     1120    1942  Turkey   7.3     1100
1970  Turkey    6.9     1086    1953  Turkey   7.3     1070
1966  China     7.0     1000    1918  China    7.4     1000
1944  Japan     8.1     1000    1905  Italy    7.9     1000
1957  Russia    7.6     1000    1932  China    7.6     1000
1906  Ecuador   8.8     1000    2011  Japan    8.9    10000
