 -1.102279  -1.799389  4.452822
  1.867178  -0.596622  3.842313
 -0.524181   1.868521  3.766139 
 -0.380611   0.969128  1.084074 
  0.552454  -0.212309  0.350281 
 -0.184954   1.187305  1.443902 
  0.205643  -0.770148  0.635417 
  1.079222  -0.327389  1.271904 
 -0.274919  -1.721429  3.038899 
  2.047779  -0.062677  4.197329 
 -0.458677  -1.443219  2.293266 
  0.304731  -0.884636  0.875442 
 -0.712336  -0.222392  0.556881
 -0.271866   1.181767  1.470484 
  0.886202  -0.654106  1.213209
 -2.035552   0.527648  4.421883 
 -1.459047  -0.463998  2.344113 
  1.230661  -0.005650  1.514559 
  0.088787   1.885329  3.562347 
 -0.314154  -0.329161  0.207040 
 -0.198253   0.646070  0.456712 
 -1.636217   1.049551  3.778762 
  1.221109   0.814383  2.154327 
  1.413135   1.549837  4.398942 
 -0.174494  -1.330937  1.801841 
 -1.464173  -0.912864  2.977124 
